run_id,started_at,finished_at,status,source,records_read,records_written,duplicates_removed,watermark_before,watermark_after,error_message
c5910c4d4075,2026-09-12T09:10:08.737299+00:00,2026-09-12T09:10:08.745832+00:00,SUCCESS,files,3,3,0,,,
c5910c4d4075,2026-09-12T09:10:08.748347+00:00,2026-09-12T09:10:08.781937+00:00,SUCCESS,api_events,122,120,2,,2026-08-21T10:00:00,
1c8b97ad32ce,2026-09-12T09:10:58.858151+00:00,2026-09-12T09:10:58.860661+00:00,SUCCESS,files,3,0,3,,,
1c8b97ad32ce,2026-09-12T09:10:58.861662+00:00,2026-09-12T09:10:58.869694+00:00,SUCCESS,api_events,0,120,0,2026-08-21T10:00:00,2026-08-21T10:00:00,
6529ef80e298,2026-09-12T09:11:20.920316+00:00,2026-09-12T09:11:20.923317+00:00,SUCCESS,files,3,0,3,,,
6529ef80e298,2026-09-12T09:11:20.924320+00:00,2026-09-12T09:11:22.964475+00:00,FAILED,api_events,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,"HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/events?page=1&per_page=20&updated_after=2026-08-21T10%3A00%3A00 (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))"
039c12c8e9e6,2026-09-12T09:11:41.560138+00:00,2026-09-12T09:11:41.563137+00:00,SUCCESS,files,3,0,3,,,
039c12c8e9e6,2026-09-12T09:11:41.564137+00:00,2026-09-12T09:11:41.571773+00:00,SUCCESS,api_events,0,120,0,2026-08-21T10:00:00,2026-08-21T10:00:00,
026bdaf8bc97,2026-09-12T09:11:56.940229+00:00,2026-09-12T09:11:56.943229+00:00,SUCCESS,files,3,0,3,,,
026bdaf8bc97,2026-09-12T09:11:56.943229+00:00,2026-09-12T09:11:56.950538+00:00,SUCCESS,api_events,0,120,0,2026-08-21T10:00:00,2026-08-21T10:00:00,
7a2a351cd9d6,2026-09-12T09:12:11.800193+00:00,2026-09-12T09:12:11.808206+00:00,SUCCESS,files,3,3,0,,,
7a2a351cd9d6,2026-09-12T09:12:11.809026+00:00,2026-09-12T09:12:11.826240+00:00,SUCCESS,api_events,122,120,2,,2026-08-21T10:00:00,
